Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,1-Jan-18,921.05,922.7,922.7,907.5,909.5,909.75,913.43,4321686,3947568944,61538,2615951,60.53
RELIANCE,EQ,2-Jan-18,909.75,913,919.55,906.4,911.5,911.15,912.92,4342815,3964649170,63346,1835805,42.27
RELIANCE,EQ,3-Jan-18,911.15,925,926,913.05,915.5,914.8,920.1,6175312,5681898483,101162,2679871,43.4
RELIANCE,EQ,4-Jan-18,914.8,918.15,921.8,915.7,920.5,920.3,919.08,4118581,3785310187,92195,2666331,64.74
RELIANCE,EQ,5-Jan-18,920.3,921.8,926.9,920.25,923,923.25,923.12,3401905,3140379429,59095,1641153,48.24
RELIANCE,EQ,8-Jan-18,923.25,926.1,931,923.5,926.6,928.55,927.42,4035417,3742538282,71254,2338783,57.96
RELIANCE,EQ,9-Jan-18,928.55,928.15,943.9,924,940,940.95,938.57,6534997,6133531768,130260,2793438,42.75
RELIANCE,EQ,10-Jan-18,940.95,943,947.4,935.5,941.5,942.35,942.13,5361502,5051241312,88179,3071989,57.3
RELIANCE,EQ,11-Jan-18,942.35,941.8,942.65,935,936.9,937.75,939.68,3588727,3372263779,61745,2236859,62.33
RELIANCE,EQ,12-Jan-18,937.75,943,952.8,938.25,946.6,949,946.82,6890028,6523589663,120871,3367729,48.88
RELIANCE,EQ,15-Jan-18,949,950,958.5,945.2,947.6,949.15,952.57,5084113,4842989337,67051,3050153,59.99
RELIANCE,EQ,16-Jan-18,949.15,947.7,947.7,920,923.8,922.95,930.84,4948895,4606622461,112950,2257272,45.61
RELIANCE,EQ,17-Jan-18,922.95,926,929,907,924.1,924.5,921.46,6036432,5562354162,113531,2867770,47.51
RELIANCE,EQ,18-Jan-18,924.5,929,929.6,915.1,922,919.7,922.33,4289053,3955927032,96415,1953284,45.54
RELIANCE,EQ,19-Jan-18,919.7,923,934.4,922.1,934.2,931.3,928.48,4559564,4233444944,104474,1700020,37.28
RELIANCE,EQ,22-Jan-18,931.3,948,974.3,940,970.2,971.5,959.81,20892838,20053133154,324891,7211234,34.52
RELIANCE,EQ,23-Jan-18,971.5,975,990.95,975,982.05,983.25,984.66,10298500,10140509292,189970,4375134,42.48
RELIANCE,EQ,24-Jan-18,983.25,981.75,981.75,962.65,967.95,966.35,968.16,6532672,6324642038,112501,3339394,51.12
RELIANCE,EQ,25-Jan-18,966.35,967.9,972,956.15,963.95,965.9,963.99,6249419,6024404785,124818,3361900,53.8
RELIANCE,EQ,29-Jan-18,965.9,966.2,977.3,959.3,963.7,964.5,968.68,4524605,4382895108,98469,2245340,49.63
